"","country","Region","Surface.area..km2.","Population.in.thousands..2017.","Population.density..per.km2..2017.","Population.growth.rate..average.annual...","Sex.ratio..m.per.100.f..2017.","GDP.per.capita..current.US..","Female Labor Paricipation","Male Labor Participation","Unemployment....of.labour.force.","Food.production.index..2004.2006.100.","International.trade..Balance..million.US..","Urban.population....of.total.population.","Fertility.rate..total..live.births.per.woman.","Life.expectancy.at.birth..females.males..years.","Infant.mortality.rate..per.1000.live.births","Health..Total.expenditure....of.GDP.","Health..Physicians..per.1000.pop..","Education..Government.expenditure....of.GDP.","Education..Tertiary.gross.enrol..ratio..f.m.per.100.pop..","Seats.held.by.women.in.national.parliaments..","Mobile.cellular.subscriptions..per.100.inhabitants.","Individuals.using.the.Internet..per.100.inhabitants.","Forested.area....of.land.area.","Energy.supply.per.capita..Gigajoules."
"1","Afghanistan","SouthernAsia",652864,35530,54.4,3.2,106.3,623.2,19.3,83.6,8.6,125,-2110,26.7,5.3,"63.5/61.0",68.6,8.2,0.3,3.3,"3.7/13.3",27.7,61.6,42,"9.8/0.3","78.2/47.0"
"2","Albania","SouthernEurope",28748,2930,106.9,-0.1,101.9,3984.2,40.2,61,15.8,134,-2707,57.4,1.7,"79.9/75.6",14.6,5.9,1.3,3.5,"68.1/48.7",22.9,106.4,130,"5.7/2.0","94.9/95.2"
"3","Armenia","WesternAsia",29743,2930,102.9,0.3,88.8,3489.1,55.3,74.2,16.6,135,-1455,62.7,1.6,"77.0/70.6",13.2,4.5,2.8,2.8,"46.9/41.6",9.9,115.2,114,"5.5/1.8","100.0/100.0"
"4","Azerbaijan","WesternAsia",86600,9828,118.9,1.3,99.3,5438.7,62,68.8,5.2,136,611,54.6,2.1,"74.6/68.6",31.4,6,3.4,2.6,"27.5/23.6",16.8,111.3,97,"37.5/3.9","94.7/77.8"
"5","Belize","CentralAmerica",22966,375,16.4,2.2,99.2,4789.4,56.7,83.8,11.5,97,-706,44,2.6,"72.7/67.2",14.3,5.8,NA,6.4,"28.7/17.9",9.4,48.9,117,"0.5/1.4","98.9/100.0"
"6","Benin","WesternAfrica",114763,11176,99.1,2.8,99.5,779.1,70,73.4,1,158,-2220,44,5.2,"61.4/58.5",67.7,4.6,0.1,4.4,"8.4/22.4",7.2,85.6,88,"6.3/0.6","85.2/72.1"
"7","Bhutan","SouthernAsia",38394,808,21.2,1.6,113.1,2677.1,59.4,73.5,2.4,98,-1072,38.6,2.2,"68.9/68.6",30.5,3.6,0.3,7.4,"9.2/12.6",8.5,87.1,71,"1.0/1.3","100.0/100.0"
"8","Bolivia","SouthAmerica",1098581,11052,10.2,1.6,100.2,3076.8,64.1,82.6,3.8,143,-1405,68.5,3,"70.2/65.3",42.9,6.3,0.5,7.3,".../...",53.1,92.2,231,"20.4/1.9","96.7/75.6"
"9","Brazil","SouthAmerica",8515767,209288,25,0.9,96.6,8528.3,56,78.2,12.4,136,47683,85.7,1.8,"78.4/71.0",15.8,8.3,1.9,6,"59.3/42.4",10.7,126.6,990,"529.8/2.6","100.0/87.0"
"10","Burkina Faso","WesternAfrica",272967,19193,70.2,3,99.5,611.1,76.5,90.5,2.9,134,-1680,29.9,5.6,"59.3/58.0",64.8,5,NA,4.1,"3.8/7.3",11,80.6,31,"2.8/0.1","97.5/75.8"
"11","Burundi","EasternAfrica",27830,10864,423.1,3,96.9,244.6,84.6,82.7,1.7,122,-502,12.1,6,"58.0/54.2",77.8,7.5,NA,5.4,"2.4/7.7",36.4,46.2,61,"0.4/~0.0","91.1/73.8"
"12","Cambodia","South-easternAsia",181035,16005,90.7,1.6,95.3,1158.7,75.6,87,0.3,177,-2109,20.7,2.7,"69.6/65.5",29.9,5.7,0.2,1.9,"11.8/14.3",20.3,133,255,"6.7/0.4","100.0/69.1"
"13","Cameroon","MiddleAfrica",475650,24054,50.9,2.7,100.2,1217.3,71.1,81.2,4.6,160,-2768,54.4,5,"57.7/55.1",67.5,4.1,NA,3,"15.2/19.7",31.1,71.8,775,"7.0/0.3","94.8/52.7"
